PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
250097	0.8132	0	0.2243	1	0.868	0	0	1	RURAL	0.36	0.029
250099	0.8064	0	0.34145	1	0.863	0	0	1	RURAL	0.293	0.017
250100	0.8284	0	0.18846	1	0.879	0	0	1	RURAL	0.361	0.028
250102	0.8064	0.00071	0.07429	1	0.863	0.00027	0.04572	1	OURBAN	0.289	0.022
250104	0.8284	0	0.10936	1	0.879	0	0	1	RURAL	0.315	0.028
250112	0.7625	0	0.07521	1	0.8305	0	0	1	RURAL	0.651	0.062
250117	0.8418	0	0.12	1	0.8888	0	0	1	OURBAN	0.309	0.026
250122	0.8418	0	0.12	1	0.8888	0	0	1	RURAL	0.134	0.013
250123	0.8865	0	0.13347	1	0.9208	0	0.06102	1	OURBAN	0.286	0.07
250124	0.8064	0	0.12	1	0.863	0	0	1	OURBAN	0.445	0.024
250125	0.8865	0	0.13343	1	0.9208	0	0.06101	1	OURBAN	0.207	0.014
250126	0.9294	0	0.12	1	0.9511	0	0	1	LURBAN	0.478	0.033
250127	1.4402	0	0.12	1	1.2838	0	0	1	RURAL	0.37	0.027
250128	0.8071	0	0.12	1	0.8635	0	0	1	RURAL	0.381	0.049
250134	0.8064	0	0.12	1	0.863	0	0	1	OURBAN	0.308	0.027
250136	0.8064	0	0.21604	1	0.863	0	0.08274	1	OURBAN	0.19	0.02
250138	0.8064	0	0.17489	1	0.863	0	0.07187	1	OURBAN	0.204	0.036
250141	0.9294	0.00371	0.16977	1	0.9511	0.00116	0.07052	1	LURBAN	0.369	0.027
250149	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.774	0.106
250151	0.7625	0	0.12	1	0.8305	0	0	1	RURAL	0.4	0.01
250152	0.8064	0	0.09185	1	0.863	0	0	1	OURBAN	0.308	0.027
250162	0.8879	0	0	1	0.9218	0	0	1	OURBAN	0.308	0.027
260001	0.9677	0	0.10771	1	0.9778	0	0.05434	1	OURBAN	0.295	0.02
260004	0.8415	0	0	1	0.8885	0	0	1	RURAL	0.599	0.038
260005	0.8963	0	0.07599	1	0.9278	0	0.04616	1	LURBAN	0.267	0.015
260006	0.8415	0	0.05319	1	0.8885	0	0	1	RURAL	0.355	0.04
260009	0.9423	0	0.0698	1	0.9601	0	0	1	RURAL	0.436	0.034
260011	0.9012	0	0	1	0.9312	0	0.02488	1	OURBAN	0.347	0.019
260015	0.8423	0	0.12	1	0.8891	0	0	1	RURAL	0.226	0.019
260017	0.8788	0	0.11458	1	0.9153	0	0	1	RURAL	0.459	0.058
260020	0.8963	0.06126	0.05292	1	0.9278	0.02398	0.03985	1	LURBAN	0.28	0.025
260021	0.8963	0.17406	0.17748	1	0.9278	0.22628	0.07255	1	LURBAN	0.337	0.01
260022	0.8713	0.13046	0.13277	1	0.91	0.09818	0	1	RURAL	0.26	0.035
260023	0.8963	0	0.06587	1	0.9278	0	0.04356	1	LURBAN	0.393	0.029
260024	0.8415	0	0.12	1	0.8885	0	0	1	RURAL	0.429	0.029
260025	0.8963	0	0.05201	1	0.9278	0	0	1	RURAL	0.382	0.041
260027	0.9423	0.04649	0.08396	1	0.9601	0.02058	0.04821	1	LURBAN	0.22	0.013
260032	0.8963	0.23516	0.15416	1	0.9278	0.12699	0.06643	1	LURBAN	0.329	0.031
260034	0.9423	0	0.02742	1	0.9601	0	0	1	LURBAN	0.356	0.032
260040	0.8523	0.0168	0.17749	1	0.8963	0.00595	0.07255	1	OURBAN	0.307	0.022
260047	0.8415	0.04977	0.03429	1	0.8885	0.01694	0	1	RURAL	0.412	0.037
260048	0.9423	0.28768	0.53595	1	0.9601	0.12459	0.17119	1	LURBAN	0.55	0.029
260050	1.025	0	0.04094	1	1.0171	0	0	1	RURAL	0.504	0.038
260052	0.8963	0	0.04986	1	0.9278	0	0.03886	1	LURBAN	0.349	0.025
260057	0.9423	0	0.05166	1	0.9601	0	0	1	LURBAN	0.458	0.049
260059	0.8492	0	0.10639	1	0.8941	0	0	1	RURAL	0.537	0.036
260061	0.8415	0	0.18303	1	0.8885	0	0	1	RURAL	0.544	0.089
260062	0.9423	0	0.10595	1	0.9601	0	0.05388	1	LURBAN	0.28	0.035
260064	0.8504	0	0	1	0.895	0	0	1	RURAL	0.475	0.045
260065	0.8523	0	0.12148	1	0.8963	0	0.0579	1	OURBAN	0.374	0.026
260068	0.8437	0	0	1	0.8901	0	0.02762	1	OURBAN	0.366	0.033
260070	0.8415	0	0.12	1	0.8885	0	0	1	RURAL	0.29	0.009
260074	0.8437	0.02428	0.10549	1	0.8901	0.01786	0	1	RURAL	0.252	0.039
260077	0.8963	0	0	1	0.9278	0	0.02157	1	LURBAN	0.334	0.023
260078	0.8415	0	0.25361	1	0.8885	0	0	1	RURAL	0.363	0.056
260080	0.8415	0	0.11138	1	0.8885	0	0	1	RURAL	0.364	0.029
260081	0.8963	0	0	1	0.9278	0	0.01817	1	LURBAN	0.285	0.014
260085	0.9423	0	0	1	0.9601	0	0.02566	1	LURBAN	0.359	0.024
260091	0.8963	0.14185	0.30748	1	0.9278	0.06754	0.10732	1	LURBAN	0.292	0.017
260094	0.8523	0	0.05766	1	0.8963	0	0	1	RURAL	0.303	0.031
260095	0.9423	0.00186	0	1	0.9601	0.00078	0.025	1	LURBAN	0.237	0.02
260096	0.9423	0	0	1	0.9601	0	0.02031	1	LURBAN	0.288	0.023
260097	0.8715	0	0.05719	1	0.9101	0	0	1	RURAL	0.53	0.012
260102	0.9423	0.21875	0.45517	1	0.9601	0.12092	0.1482	1	LURBAN	0.823	0.088
260104	0.8963	0.00708	0.14634	1	0.9278	0.00228	0.06438	1	LURBAN	0.275	0.013
260105	0.8963	0.38688	0.17485	1	0.9278	0.19944	0.07185	1	LURBAN	0.202	0.014
260108	0.8963	0.00371	0	1	0.9278	0.00136	0.01406	1	LURBAN	0.344	0.03
260110	0.8523	0	0.1058	1	0.8963	0	0	1	RURAL	0.319	0.029
260113	0.8415	0	0.24249	1	0.8885	0	0	1	RURAL	0.356	0.025
260115	0.8963	0	0.10082	1	0.9278	0	0	1	LURBAN	0.44	0.038
260116	0.8502	0.0238	0.09744	1	0.8948	0.01931	0	1	RURAL	0.444	0.034
260119	0.8423	0	0.27633	1	0.8891	0	0	1	RURAL	0.221	0.021
260137	0.9677	0.00507	0.20289	1	0.9778	0.0108	0.07926	1	OURBAN	0.249	0.011
260138	0.9423	0.12385	0.09659	1	0.9601	0.05937	0.05146	1	LURBAN	0.24	0.018
260141	0.8437	0.34236	0.20072	1	0.8901	0.15554	0.07868	1	OURBAN	0.329	0.023
260142	0.8415	0	0.06652	1	0.8885	0	0	1	RURAL	0.385	0.024
260147	0.8415	0	0.03567	1	0.8885	0	0	1	RURAL	0.484	0.032
260160	0.8415	0	0.07668	1	0.8885	0	0	1	RURAL	0.331	0.018
260162	0.8963	0.08133	0	1	0.9278	0.0361	0	1	LURBAN	0.362	0.041
260163	0.8502	0	0.08489	1	0.8948	0	0	1	RURAL	0.441	0.049
260166	0.9423	0.07038	0.1157	1	0.9601	0.04217	0.0564	1	LURBAN	0.247	0.021
260175	0.9423	0	0.06896	1	0.9601	0	0	1	RURAL	0.387	0.034
260176	0.8963	0.1085	0	1	0.9278	0.03749	0.02397	1	LURBAN	0.194	0.011
260177	0.9423	0	0	1	0.9601	0	0.02214	1	LURBAN	0.348	0.035
260178	0.8437	0.06911	0.25802	1	0.8901	0.04587	0.09396	1	OURBAN	0.368	0.025
260179	0.8963	0.04764	0	1	0.9278	0.02408	0.00971	1	LURBAN	0.371	0.029
260180	0.8963	0.00082	0.07867	1	0.9278	0.0004	0.04685	1	LURBAN	0.313	0.026
260183	0.8963	0	0.11238	1	0.9278	0	0	1	RURAL	0.278	0.023
260186	0.8788	0	0.05688	1	0.9153	0	0	1	RURAL	0.314	0.032
260190	0.9423	0	0	1	0.9601	0	0	1	LURBAN	0.273	0.022
260191	0.8963	0.00952	0	1	0.9278	0.00324	0.00961	1	LURBAN	0.338	0.036
260193	0.9423	0.03918	0	1	0.9601	0.01791	0.02092	1	LURBAN	0.383	0.029
260195	0.8415	0	0.12	1	0.8885	0	0	1	RURAL	0.374	0.032
260200	0.8963	0	0.05171	1	0.9278	0	0.03946	1	LURBAN	0.247	0.02
260207	0.8523	0	0.05591	1	0.8963	0	0	1	OURBAN	0.436	0.039
260209	0.9012	0	0.09844	1	0.9312	0	0	1	OURBAN	0.424	0.035
